id,Latitude,Longitude,Score,Price
1526309,41.79819026450707,-87.5960131755388,99.0,$98.00
9157378,41.80036707170383,-87.58821499394453,96.0,$53.00
12474957,41.79748853366228,-87.59635755055064,97.0,$34.00
13858506,41.801289586696896,-87.60049301128987,98.0,$70.00
13042888,41.80065421100771,-87.58488196777498,99.0,$69.00
3983057,41.795072367768284,-87.5933226636273,89.0,$40.00
18450032,41.79401253247819,-87.58375315551103,100.0,$60.00
15536655,41.79702482026281,-87.58635427935059,100.0,$48.00
4056327,41.79124462666243,-87.58821796968691,100.0,$84.00
4932293,41.788596222683466,-87.58903275831146,98.0,$100.00
18071978,41.79369236085204,-87.58667994780961,100.0,$30.00
17318140,41.79738547294694,-87.5990141104185,100.0,$205.00
18251922,41.80163862399972,-87.58647632532036,80.0,$111.00
9591358,41.783157815137656,-87.60597765322734,99.0,$52.00
9550310,41.773839350017646,-87.59310630631565,87.0,$50.00
16518218,41.77997566432594,-87.59490041890743,89.0,$120.00
13345749,41.78413711369684,-87.60495528745312,95.0,$100.00
17283592,41.78277741037229,-87.61015464778616,90.0,$155.00
12284003,41.78180013993392,-87.6109130437434,97.0,$106.00
15889957,41.780657253516566,-87.60181127760809,20.0,$41.00
15874839,41.78248170957686,-87.6065212569517,93.0,$45.00
10043106,41.7840675458681,-87.59616775923422,93.0,$75.00
12111530,41.782833446023204,-87.60882301832353,100.0,$40.00
7260826,41.78191630148758,-87.60627126599279,88.0,$72.00
11139981,41.77799933164891,-87.5883590835429,99.0,$114.00
15889904,41.781808558173644,-87.59970771168146,88.0,$40.00
10070422,41.784117419636615,-87.60638044731972,99.0,$45.00
17070148,41.7846592963705,-87.61406517382242,93.0,$125.00
6576714,41.776986896751204,-87.59742135191263,99.0,$49.00
15874365,41.78370405194014,-87.60622720382764,97.0,$40.00
1810118,41.77891556365949,-87.59886221103079,97.0,$59.00
10072035,41.78339121080057,-87.6069844795023,98.0,$48.00
15876178,41.782790598820746,-87.60620953703013,100.0,$40.00
9573258,41.78095434747736,-87.60524144163305,93.0,$301.00
15889919,41.780267834918135,-87.60134163654682,100.0,$40.00
15823434,41.78371873393462,-87.61130604406101,80.0,$37.00
8824905,41.78396919632241,-87.5972099661508,95.0,$60.00
10101026,41.78173966671004,-87.60638410564432,98.0,$45.00
10100835,41.78294856313485,-87.6073139696337,100.0,$45.00
6724355,41.7824417685319,-87.61327959266409,95.0,$62.00
10071396,41.78301184291792,-87.60742012931244,99.0,$45.00
10227627,41.782656914637286,-87.59912435899936,92.0,$120.00
11145774,41.777849503902246,-87.58815962473356,99.0,$72.00
11145640,41.776529246781976,-87.5874110654452,98.0,$114.00
15831435,41.78326903955621,-87.60307134695097,97.0,$65.00
15421276,41.7745559246415,-87.58712835083256,100.0,$110.00
12897314,41.777211969540154,-87.59901451908993,94.0,$85.00
12110676,41.78499836792205,-87.60938798376095,97.0,$40.00
4269685,41.77647158772017,-87.59874426430349,92.0,$55.00
12111066,41.78415056369707,-87.61065842543238,90.0,$40.00
969940,41.77607146001751,-87.59812848524669,90.0,$55.00
12072765,41.780955251600545,-87.60775830845806,89.0,$50.00
16467855,41.782898179145604,-87.5914123722723,92.0,$36.00
12092498,41.78332287014733,-87.60907883283963,80.0,$45.00
16146505,41.78100322223842,-87.5964633540208,99.0,$35.00
983330,41.776997939445316,-87.59840397424144,93.0,$85.00
7359188,41.77724429684492,-87.59761756032223,98.0,$41.00
4978940,42.014467334776796,-87.66605972201404,91.0,$120.00
11176248,42.00182851693764,-87.66526908915944,100.0,$50.00
10152259,42.02228288457695,-87.67217562570991,96.0,$60.00
16646072,42.003289554117174,-87.67192249999704,100.0,$42.00
16827583,42.00791110372651,-87.67827748543672,80.0,$30.00
9041069,42.01723989394956,-87.68235700603273,97.0,$28.00
15352262,42.001438153970454,-87.66088462068507,93.0,$175.00
1989842,41.9983147510615,-87.66428004511448,99.0,$75.00
17134936,42.01001949072954,-87.66688171381338,100.0,$275.00
3953841,42.006104824943094,-87.66298333151505,94.0,$85.00
17908408,42.00112443547429,-87.67033063922308,100.0,$40.00
1645763,42.00604322737251,-87.66765866360514,98.0,$50.00
7854234,42.00848755449866,-87.66846404119008,100.0,$38.00
16193059,42.016954115074036,-87.68235684270054,85.0,$50.00
17208292,42.00241925492758,-87.66713039376957,89.0,$200.00
10152771,42.02096696475203,-87.67380258916906,99.0,$50.00
11101022,41.999477464448425,-87.6650989328025,100.0,$60.00
3696178,42.021388304198105,-87.67363217873054,95.0,$40.00
3125185,42.002038841540745,-87.66653348280704,91.0,$75.00
6655683,42.002322071908004,-87.66685995486972,100.0,$325.00
13999202,42.00656546202776,-87.67027100397301,100.0,$35.00
6323369,42.01698737563709,-87.68209347791371,91.0,$95.00
9050138,42.01768173776343,-87.68408420843254,94.0,$16.00
1614409,42.009794952485684,-87.66375723773304,88.0,$95.00
7688956,42.00102206155977,-87.66414942983995,100.0,$150.00
6331758,42.01420838059187,-87.67062553518886,100.0,$55.00
17759790,42.002692895709465,-87.65826872553919,93.0,$95.00
6077875,42.008025177137256,-87.67253858886245,99.0,$45.00
15785970,42.021753428164956,-87.66627265856094,87.0,$105.00
