ID,Latitude,Longitude,Primary Type
10813738,41.906651562,-87.75960379700001,BATTERY
10813748,41.903857678,-87.772327959,OTHER OFFENSE
10813753,41.885740288,-87.631590568,DECEPTIVE PRACTICE
10813756,41.808664584,-87.66040827,OTHER OFFENSE
10813796,41.801803776,-87.63374681799999,WEAPONS VIOLATION
10813814,41.898402608000005,-87.771865139,NARCOTICS
10813822,41.736562706,-87.54581837299999,STALKING
10813848,41.666128778,-87.62007655,BATTERY
10813867,41.772901454,-87.67373041299999,CRIMINAL TRESPASS
10813872,41.90351448,-87.667498444,THEFT
10813905,41.949926629000004,-87.655619761,MOTOR VEHICLE THEFT
10813917,41.868180939,-87.709271389,NARCOTICS
10813920,41.692466898,-87.68117628700001,THEFT
10813925,41.953900467,-87.90747260100001,NARCOTICS
10813956,41.879633598000005,-87.73628186399999,NARCOTICS
10813957,41.879633598000005,-87.73628186399999,NARCOTICS
10813963,41.868541914,-87.639235361,THEFT
10813976,41.903177211999996,-87.678040971,NARCOTICS
10813998,41.756677456,-87.56390135,MOTOR VEHICLE THEFT
10813999,41.805308941999996,-87.745536788,NARCOTICS
10814011,41.873820339,-87.737687169,NARCOTICS
10814029,41.868034105999996,-87.639215155,ASSAULT
10814032,41.882449548000004,-87.624377611,CRIMINAL TRESPASS
10814039,41.692041778000004,-87.665923635,BATTERY
10814060,41.883475491,-87.627876969,THEFT
10814067,41.850553906,-87.719844675,WEAPONS VIOLATION
10814076,41.751815845,-87.560005138,WEAPONS VIOLATION
10814080,41.857737981,-87.709075593,WEAPONS VIOLATION
10814081,41.975324221,-87.676386182,MOTOR VEHICLE THEFT
10814085,41.890494036999996,-87.723502612,WEAPONS VIOLATION
10814102,41.736562706,-87.54581837299999,OTHER OFFENSE
10814120,41.931582515,-87.742747165,CRIMINAL TRESPASS
10814122,41.892753031,-87.62419389600001,THEFT
10814146,41.867608045,-87.698376638,NARCOTICS
10814147,41.896714548,-87.625340136,THEFT
10814177,41.897520869000004,-87.691072153,BATTERY
10814183,41.931582515,-87.742747165,THEFT
10814194,41.893645286,-87.714430029,OFFENSE INVOLVING CHILDREN
10814195,41.695982095,-87.59665314200001,THEFT
10814201,41.808981361,-87.606551046,THEFT
10814209,41.878840427,-87.639582928,DECEPTIVE PRACTICE
10814213,41.923295453,-87.749823656,ASSAULT
10814222,41.858362383,-87.671116619,BATTERY
10814227,41.854818794,-87.71021618700001,ASSAULT
10814256,41.765558228,-87.622733535,THEFT
10814263,41.881512491,-87.630869346,ASSAULT
10814267,41.7557181,-87.671597442,OTHER OFFENSE
10814280,41.722468501,-87.646886763,MOTOR VEHICLE THEFT
10814303,41.70728151,-87.61590103299999,OTHER OFFENSE
10814304,41.883656549,-87.74906441200001,OTHER OFFENSE
10814318,41.96137851,-87.65474101,THEFT
10814328,41.817599791999996,-87.632389996,WEAPONS VIOLATION
10814335,41.895512894,-87.71065087,NARCOTICS
10814336,41.878177031999996,-87.627986655,CRIMINAL TRESPASS
10814340,41.891694878,-87.62615583200001,THEFT
10814347,41.765755571,-87.57629242700001,THEFT
10814352,41.883656549,-87.74906441200001,NARCOTICS
10814364,41.671461052,-87.65266305,BATTERY
10814368,41.924191001,-87.750006576,WEAPONS VIOLATION
10814369,41.782655024,-87.66429915399999,PROSTITUTION
10814370,41.765558228,-87.622733535,THEFT
10814373,41.784928504,-87.664506518,OTHER OFFENSE
10814391,41.902894779,-87.755787704,NARCOTICS
10814395,41.810946546,-87.69184234299999,BATTERY
10814399,41.866487012,-87.69763144,NARCOTICS
10814405,41.811773521999996,-87.66505266700001,INTERFERENCE WITH PUBLIC OFFICER
10814410,41.898371341,-87.62522266100001,CRIMINAL DAMAGE
10814412,41.876650547,-87.755587101,CRIMINAL TRESPASS
10814414,41.782545237,-87.66429662899999,PROSTITUTION
10814416,41.761109411999996,-87.644308897,PROSTITUTION
10814417,41.801307936,-87.584690956,THEFT
10814422,41.70503231,-87.61126417700001,NARCOTICS
10814425,41.782432685,-87.664290466,PROSTITUTION
10814427,41.876108306,-87.68486082700001,CRIMINAL TRESPASS
10814429,41.894591453000004,-87.719944973,NARCOTICS
10814437,41.890300892,-87.631088915,NARCOTICS
10814441,41.770351326,-87.66553776100001,NARCOTICS
10814444,41.685068588,-87.643184156,ROBBERY
10814445,41.888563605,-87.752919981,CRIMINAL DAMAGE
10814448,41.797022081,-87.67439263799999,BATTERY
10814450,41.695982095,-87.59665314200001,THEFT
10814451,41.860769215,-87.718524602,NARCOTICS
10814452,41.75216896,-87.605227966,CRIMINAL TRESPASS
10814454,41.767760676,-87.673607123,NARCOTICS
10814461,41.927837354,-87.752027591,INTERFERENCE WITH PUBLIC OFFICER
10814468,41.812695493,-87.702899309,CRIMINAL DAMAGE
10814476,41.823537386,-87.70276361299999,NARCOTICS
10814479,41.824728209,-87.643524474,BATTERY
10814480,41.9197963,-87.72908064,BATTERY
10814483,41.85098667,-87.722263023,BATTERY
10814490,41.931578331,-87.74300078200001,BURGLARY
10814493,41.876739018,-87.73534309700001,WEAPONS VIOLATION
10814495,41.831881927,-87.61697712600001,CRIMINAL TRESPASS
10814500,41.852868298000004,-87.63091491,ASSAULT
10814504,41.96176074,-87.65580321899999,SEX OFFENSE
10814508,41.909943862,-87.67745008799999,BATTERY
10814515,41.768492249,-87.66912012,OTHER OFFENSE
10814529,41.976277571,-87.751892523,BATTERY
10814530,41.793223108,-87.65120397,CRIMINAL TRESPASS
10814534,41.766435144,-87.635963997,BATTERY
10814544,41.859720099,-87.64669831200001,CRIMINAL TRESPASS
10814583,41.721180629,-87.62371718700001,THEFT
10814617,41.919192965,-87.77921164799999,BATTERY
10814624,41.874282219,-87.731532678,WEAPONS VIOLATION
10814641,41.873852593,-87.76240869,CRIMINAL DAMAGE
10814642,41.898662742,-87.746503358,OTHER OFFENSE
10814647,41.871556324000004,-87.624163883,CRIMINAL TRESPASS
10814665,41.895710994,-87.689837799,MOTOR VEHICLE THEFT
10814667,41.776921474,-87.716646092,MOTOR VEHICLE THEFT
10814707,41.946221444,-87.708253555,THEFT
10814744,41.872709056,-87.62418785700001,CRIMINAL TRESPASS
10814750,41.917581986,-87.74982794200001,MOTOR VEHICLE THEFT
10814751,41.872709056,-87.62418785700001,CRIMINAL TRESPASS
10814806,41.826127378,-87.684910496,CRIMINAL DAMAGE
10814819,41.93647023,-87.681908498,NARCOTICS
10814861,41.981313322,-87.882548649,CRIMINAL TRESPASS
10814880,41.96478386,-87.652388396,OTHER OFFENSE
10814907,41.885740288,-87.631590568,DECEPTIVE PRACTICE
10814913,41.979006297,-87.906463155,CRIMINAL TRESPASS
10814914,41.785353879,-87.735177375,ASSAULT
10814984,41.855118781,-87.631844657,CRIMINAL TRESPASS
10815018,41.894192021,-87.71505649,NARCOTICS
10815022,41.862023566,-87.71041789899999,CRIMINAL TRESPASS
10815032,41.885384249,-87.707183335,OTHER OFFENSE
10815039,41.902727471999995,-87.719823027,NARCOTICS
10815044,41.790070137,-87.65355490799999,NARCOTICS
10815072,41.876132825999996,-87.729106571,NARCOTICS
10815076,41.809317464,-87.62077557399999,CRIMINAL TRESPASS
10815078,41.879150456,-87.755021121,THEFT
10815107,41.965249692,-87.66818707899999,BATTERY
10815111,41.905809996,-87.62953037,BATTERY
10815126,41.883500186999996,-87.627876698,THEFT
10815129,41.878001438000005,-87.72387109299999,WEAPONS VIOLATION
10815131,41.873635420999996,-87.71008118700001,CRIMINAL TRESPASS
10815134,41.946542477,-87.73608437600001,BATTERY
10815142,41.872709056,-87.62418785700001,BATTERY
10815145,41.685068588,-87.643184156,THEFT
10815163,41.707202662,-87.620871555,THEFT
10815178,42.022534793,-87.67343462299999,NARCOTICS
10815187,41.879150456,-87.755021121,THEFT
10815189,41.93467909,-87.63670682700001,NARCOTICS
10815195,41.79054357,-87.780130326,ASSAULT
10815205,41.813278601,-87.672377232,WEAPONS VIOLATION
10815212,41.783241673,-87.607248787,OTHER OFFENSE
10815213,41.903778524,-87.688276396,THEFT
10815215,41.898244881,-87.71396688200001,NARCOTICS
10815250,41.822966185,-87.685434015,INTERFERENCE WITH PUBLIC OFFICER
10815254,41.896714548,-87.625340136,THEFT
10815259,41.94219754,-87.688249516,THEFT
10815278,41.909984093,-87.717420679,LIQUOR LAW VIOLATION
10815285,41.883962158,-87.73803733,CRIMINAL DAMAGE
10815292,41.745840943000005,-87.600964456,CRIMINAL TRESPASS
10815297,41.875580565,-87.71608042700001,BATTERY
10815308,41.761594979,-87.577089059,CRIMINAL TRESPASS
10815313,41.750472394,-87.634297122,OTHER OFFENSE
10815341,41.939362537,-87.70303151200001,MOTOR VEHICLE THEFT
10815356,41.655682504,-87.59680883799999,CRIMINAL TRESPASS
10815394,41.678519693,-87.662497935,THEFT
10815407,41.713214165,-87.64542864399999,BATTERY
10815413,41.86821682,-87.6304532,THEFT
10815415,41.881768611999995,-87.749085283,MOTOR VEHICLE THEFT
10815420,41.749880266,-87.663426578,ASSAULT
10815433,41.879150456,-87.755021121,THEFT
10815441,41.755702397,-87.61506149899999,WEAPONS VIOLATION
10815444,41.756081467,-87.64378727299999,CRIMINAL TRESPASS
10815465,41.692659589,-87.61763794299999,ROBBERY
10815471,41.727707947,-87.551205466,CRIMINAL TRESPASS
10815497,41.885499559,-87.726620241,ASSAULT
10815498,41.808332351,-87.69105779799999,NARCOTICS
10815505,41.945863902,-87.767912706,CRIMINAL TRESPASS
10815508,41.88946287,-87.624222942,THEFT
10815510,41.769185486,-87.625732415,NARCOTICS
10815511,41.764849317,-87.616847223,OTHER OFFENSE
10815515,41.867097885,-87.72375071299999,NARCOTICS
10815517,41.873764087,-87.699494337,NARCOTICS
10815518,41.735066205,-87.554146165,BATTERY
10815520,41.865619065,-87.71661680700001,NARCOTICS
10815528,41.779059693,-87.615596501,BATTERY
10815534,41.875043276,-87.743341412,NARCOTICS
10815542,41.786291714,-87.664386014,ASSAULT
10815543,41.734687148,-87.613848497,THEFT
10815546,41.77874847,-87.665468981,NARCOTICS
10815551,41.725182921999995,-87.584956268,OTHER OFFENSE
10815554,41.872709648000004,-87.711929688,OTHER OFFENSE
10815557,41.67560714,-87.62619831399999,BATTERY
10815563,41.81427349,-87.622969326,OTHER OFFENSE
10815566,41.767448959,-87.585957168,CRIMINAL TRESPASS
10815570,41.940566454,-87.812948451,THEFT
10815573,41.794101221999995,-87.660032554,OTHER OFFENSE
10815585,41.772364083,-87.652183869,BATTERY
10815593,41.879647055,-87.706365394,NARCOTICS
10815595,41.873635521,-87.710099544,ASSAULT
10815597,41.878560668,-87.74802391799999,BATTERY
10815609,41.914458724,-87.716683261,MOTOR VEHICLE THEFT
10815616,41.735994703,-87.649098615,CRIMINAL TRESPASS
10815617,41.775100739,-87.591994371,BATTERY
10815620,41.873415094,-87.70590492,CRIMINAL TRESPASS
10815624,41.766282386,-87.571711585,BATTERY
10815632,41.806958812,-87.65130036299999,BURGLARY
10815633,41.755906210999996,-87.65770881899999,NARCOTICS
10815640,41.880399766,-87.75297917700001,WEAPONS VIOLATION
10815641,41.750212035,-87.674768971,NARCOTICS
10815648,41.75134868,-87.663462616,WEAPONS VIOLATION
10815652,41.752930682,-87.670783162,INTERFERENCE WITH PUBLIC OFFICER
10815657,41.894918876,-87.75720019299999,WEAPONS VIOLATION
10815658,41.767142473,-87.636300906,NARCOTICS
10815659,41.780352232,-87.66424243,BATTERY
10815661,41.980039853,-87.655800725,BATTERY
10815668,41.667102546,-87.62354642,WEAPONS VIOLATION
10815676,41.809125265,-87.63190650799999,ROBBERY
10815684,41.750472394,-87.634297122,CRIMINAL TRESPASS
10815685,41.778671235,-87.640835937,CRIMINAL TRESPASS
10815686,41.841416421999995,-87.72933787299999,BATTERY
10815715,41.879492192,-87.746113289,CRIMINAL TRESPASS
10815719,41.895420644,-87.720539406,BATTERY
10815720,41.995110343,-87.675509533,WEAPONS VIOLATION
10815722,41.73665603,-87.54582089700001,CRIMINAL DAMAGE
10815730,41.690754198,-87.624589898,OTHER OFFENSE
10815738,41.953074963,-87.667468135,DECEPTIVE PRACTICE
10815743,41.801975511,-87.687926781,NARCOTICS
10815746,41.850933613,-87.725192528,BATTERY
10815751,41.872971679,-87.686816496,ROBBERY
10815755,41.943028995,-87.64936326,NARCOTICS
10815756,41.980792345,-87.66620847600001,ASSAULT
10815761,41.73680993,-87.59333255700001,BATTERY
10815762,41.938408244,-87.77925115299999,CRIMINAL TRESPASS
10815772,41.848011799999995,-87.716598763,WEAPONS VIOLATION
10815779,41.71557103,-87.64305571700001,BATTERY
10815787,41.924647028,-87.71343598899999,BATTERY
10815788,41.762040655,-87.616207711,BATTERY
10815794,41.921029732,-87.69138762200001,BATTERY
10815796,41.915803723,-87.746059773,INTERFERENCE WITH PUBLIC OFFICER
10815798,41.780323147,-87.673925674,BURGLARY
10815800,41.986460964,-87.655283903,BATTERY
10815821,41.697140136,-87.61836820200001,ASSAULT
10815832,41.734597261,-87.551367361,OTHER OFFENSE
10815838,41.678682829,-87.66979917100001,BATTERY
10815853,41.757485413000005,-87.58610943299999,THEFT
10815873,41.917425774,-87.726571455,PUBLIC PEACE VIOLATION
10815889,41.907287914,-87.715128521,MOTOR VEHICLE THEFT
10815899,41.892802107,-87.713791753,NARCOTICS
10815912,41.880717301,-87.72628358,NARCOTICS
10815939,41.790070137,-87.65355490799999,NARCOTICS
10815944,41.910561367,-87.733679222,BATTERY
10815947,41.937071437,-87.75907027,MOTOR VEHICLE THEFT
10815954,41.873652373,-87.72036919600001,NARCOTICS
10815956,41.862899935,-87.711099561,NARCOTICS
10815966,41.901634422,-87.720178784,NARCOTICS
10815967,41.732057875,-87.637427729,BATTERY
10815975,41.788324005999996,-87.74169143200001,CONCEALED CARRY LICENSE VIOLATION
10815976,41.875483068,-87.745085159,NARCOTICS
10815983,41.786811853,-87.659940159,OTHER OFFENSE
10815989,41.865397377,-87.64066077700001,THEFT
10815997,41.955760889000004,-87.704836849,MOTOR VEHICLE THEFT
10816012,41.87541531,-87.71393032700001,NARCOTICS
10816018,41.880641841,-87.70611331,NARCOTICS
10816019,41.844000177,-87.628442902,BATTERY
10816037,41.750881615,-87.62850976600001,BATTERY
10816040,41.854824639,-87.714341939,CRIMINAL DAMAGE
10816049,41.807306046,-87.732137903,CRIMINAL TRESPASS
10816054,41.929743818,-87.684273777,THEFT
10816060,41.865397377,-87.64066077700001,THEFT
10816085,41.882215163000005,-87.677770467,WEAPONS VIOLATION
10816109,41.807818248000004,-87.727771904,PROSTITUTION
10816110,41.794672085,-87.623570871,BATTERY
10816129,41.654448027,-87.606801643,CRIMINAL TRESPASS
10816131,41.747370809,-87.550387856,BATTERY
10816137,41.743500976,-87.735796834,MOTOR VEHICLE THEFT
10816144,41.750547026,-87.597894925,BATTERY
10816149,41.918711651,-87.76551063,WEAPONS VIOLATION
10816150,41.778766192,-87.684848879,NARCOTICS
10816152,41.731595903,-87.64227601700001,OTHER OFFENSE
10816153,41.906655885,-87.6716427,CRIMINAL TRESPASS
10816160,41.878433338,-87.75812675700001,NARCOTICS
10816173,41.730041098,-87.650744443,ASSAULT
10816189,41.77766302,-87.782088826,THEFT
10816192,41.892610989,-87.619428169,THEFT
10816201,41.779234743,-87.685207125,ASSAULT
10816229,41.806956199,-87.65132239799999,BURGLARY
10816232,41.884172684,-87.627902351,BATTERY
10816237,41.728663621,-87.619165434,NARCOTICS
10816240,41.866235446,-87.72051714700001,NARCOTICS
10816249,41.70097787,-87.645079368,BATTERY
10816258,41.851804072,-87.68563492,THEFT
