ID,Latitude,Longitude
10812006,41.865751300999996,-87.708083498
10812026,41.938568747,-87.767150178
10812042,41.87082496,-87.69601703200001
10812052,41.910445227,-87.73246059600001
10812141,41.860013097,-87.72133644700001
10812225,41.917422383,-87.704518739
10812259,41.685312326,-87.623723394
10812308,41.909804314,-87.651606387
10812335,41.808599694,-87.66527639
10812397,41.869145417,-87.744856892
10812412,41.964667917,-87.72147574600001
10812416,41.850567629000004,-87.73230190000001
10812452,41.876607964,-87.62764406299999
10812462,41.878222138000005,-87.62728848200001
10812465,41.872634118,-87.716754989
10812468,41.920936691,-87.687519376
10812487,41.872177295,-87.718051797
10812489,41.89427269,-87.71627879
10812501,41.809687513,-87.674970791
10812508,41.754168689000004,-87.60163575600001
10812511,41.862897748,-87.711202374
10812524,41.885369466,-87.63243193
10812552,41.677938724,-87.630492264
10812556,41.961887684000004,-87.922964929
10812586,41.866184544,-87.724361483
10812591,41.750475660999996,-87.60521778399999
10812607,41.882736633,-87.630903677
10812644,41.75033427,-87.665045312
10812654,41.742481393,-87.649876191
10812655,41.883500186999996,-87.627876698
10812661,41.743503863,-87.60501807
10812680,41.803412024000004,-87.603764184
10812696,41.980777857,-87.667021437
10812709,41.753585679000004,-87.563238289
10812711,41.913039131,-87.76491796299999
10812712,41.867662948,-87.698379766
10812717,41.894848726999996,-87.76570735799999
10812730,41.874363279,-87.643013039
10812739,41.892915142,-87.725183775
10812744,41.869527301,-87.63926875899999
10812748,41.96017419,-87.74750190600001
10812766,41.795190552,-87.58800765299999
10812785,41.873448732,-87.69854280700001
10812787,41.696367136,-87.614114644
10812794,41.874663948,-87.735263302
10812816,41.917483848,-87.69773917
10812829,41.721859836,-87.615980653
10812831,41.690020449,-87.612076461
10812836,41.910764867,-87.658120918
10812841,41.751636442,-87.641628664
10812843,41.785848109,-87.607582382
10812852,41.974326973000004,-87.65635774
10812856,41.779244532,-87.684510424
10812858,41.771393186,-87.67248846700001
10812860,41.877585867,-87.683123746
10812882,41.895896023,-87.677913394
10812894,41.735066839,-87.650896405
10812906,41.894391296,-87.71384250700001
10812909,41.684809877,-87.642147208
10812913,41.873907046,-87.72543009299999
10812914,41.874189741,-87.73853925899999
10812918,41.767852098,-87.588874031
10812919,41.873841526,-87.763495624
10812920,41.873841216,-87.763433207
10812928,41.875412863,-87.71398542799999
10812936,41.868165405,-87.62743954
10812951,41.691751579,-87.68522565200001
10812978,41.866552752,-87.62581253299999
10812979,41.809687513,-87.674970791
10812995,41.892816145,-87.62419319799999
10813025,41.902986209,-87.690370865
10813026,41.867752226,-87.697156311
10813032,41.916930759,-87.746431558
10813041,41.883500186999996,-87.627876698
10813052,41.968815819,-87.674618145
10813054,41.751833633000004,-87.558572004
10813065,41.886337253,-87.620687893
10813072,41.77279778,-87.683468276
10813074,41.75740583,-87.64177196
10813092,41.76573639,-87.66381882
10813111,42.015517282,-87.679074821
10813124,41.783953435,-87.61176166700001
10813125,41.793819823,-87.65325858700001
10813127,41.887216076,-87.755620452
10813129,41.767947192,-87.662688796
10813131,41.865615993,-87.72271848
10813133,41.750472394,-87.634297122
10813138,41.878860042,-87.726396631
10813146,41.922632547,-87.728315299
10813149,41.886893484,-87.73443311700001
10813159,41.874153389,-87.735238688
10813160,41.877103804,-87.72433861200001
10813175,41.794705624,-87.62189458700001
10813177,41.695908161,-87.595822806
10813180,41.802599337,-87.674544554
10813185,41.779200199,-87.68201043399999
10813187,42.015517282,-87.679074821
10813190,41.813803156999995,-87.70471526200001
10813191,41.737013792,-87.69061108700001
10813193,41.764104971,-87.665008731
10813203,41.88171846,-87.62776042600001
10813212,41.653671888000005,-87.609492555
10813216,41.684779669,-87.64214387
10813217,41.762406987,-87.663721479
10813223,41.6474468,-87.617234833
10813228,41.881893071,-87.73858166
10813234,41.871489164,-87.627516791
10813235,41.82336297,-87.689135551
10813244,41.751130976,-87.70608570600001
10813246,41.909664252,-87.742728815
10813247,41.909664252,-87.742728815
10813257,41.744654208,-87.710084277
10813260,41.92898953,-87.75140709700001
10813266,41.878221581999995,-87.749337912
10813267,41.951058036999996,-87.64377054299999
10813269,41.869232768,-87.68610886299999
10813272,41.828757844,-87.680323191
10813273,41.882240048,-87.76538197299999
10813299,41.840174701,-87.708571081
10813303,41.761905806,-87.56643394700001
10813304,41.813058575999996,-87.69312717
10813305,41.941887762,-87.72604554
10813313,41.91965922,-87.747104686
10813315,41.879885049,-87.76975057700001
10813426,41.794332219,-87.64346177700001
10813515,41.807608323000004,-87.674661964
10813549,41.752711469,-87.58333557
10813635,41.948843465,-87.748605545
10813663,41.881949766,-87.64736739700001
10813716,41.879673753,-87.703721244
10813735,41.727304299000004,-87.604600275
10813738,41.906651562,-87.75960379700001
